order_id,pincode,category,customer_past_rto_count,pincode_historical_rto_rate,category_baseline_rto_rate,cart_value_category_std_dev,item_quantity_anomaly_score,is_night_order,phone_order_velocity_7d,device_account_reuse_count,account_age_days,address_char_length,address_tfidf_ambiguity_score,hub_distance_km,is_cod_selected,is_novel_pincode,is_flash_sale_cart_value,is_rto
ORD_303_00000,PIN_074,Electronics,0,0.23076923076923078,0.5535911602209945,-0.5598,0.3333,0,4,1,453,33,0.0954,132.32,0,0,0,0
ORD_303_00001,PIN_041,Apparel,0,0.21875,0.19776119402985073,4.0,0.4,0,0,1,1357,52,0.3307,100.57,1,0,0,0
ORD_303_00002,PIN_009,Beauty,1,0.23684210526315788,0.02,4.0,0.1667,0,0,1,204,41,0.314,29.81,1,0,0,0
ORD_303_00003,PIN_016,Electronics,0,0.20930232558139536,0.5535911602209945,-1.7091,1.0,1,2,1,445,69,0.3978,27.85,1,0,0,0
ORD_303_00004,PIN_089,Beauty,0,0.3888888888888889,0.02,2.3239,0.1667,0,1,1,128,64,0.342,166.57,1,0,0,0
ORD_303_00005,PIN_023,Electronics,1,0.1875,0.5535911602209945,-1.7217,0.3333,0,1,1,128,61,0.2887,56.21,1,0,0,1
ORD_303_00006,PIN_082,Apparel,0,0.25,0.19776119402985073,0.4802,0.2,1,5,1,230,59,0.1994,156.35,0,0,0,0
ORD_303_00007,PIN_033,Beauty,0,0.15151515151515152,0.02,0.6721,0.1667,0,2,1,450,54,0.4165,68.15,0,0,0,0
ORD_303_00008,PIN_005,Electronics,0,0.06666666666666667,0.5535911602209945,-1.1167,0.3333,0,3,1,111,48,0.0813,22.71,0,0,0,0
ORD_303_00009,PIN_070,Apparel,0,0.2682926829268293,0.19776119402985073,0.8369,0.2,1,3,1,243,70,0.3854,119.97,0,0,0,0
ORD_303_00010,PIN_018,Apparel,0,0.18421052631578946,0.19776119402985073,1.3459,0.4,0,4,1,553,49,0.6338,29.4,0,0,0,0
ORD_303_00011,PIN_079,Electronics,0,0.2571428571428571,0.5535911602209945,-1.7846,0.3333,1,2,1,54,35,0.179,132.43,0,0,0,0
ORD_303_00012,PIN_080,Books,0,0.32,0.01764705882352941,4.0,0.25,0,2,1,911,56,0.302,132.86,1,0,0,0
ORD_303_00013,PIN_068,Apparel,0,0.225,0.19776119402985073,4.0,0.2,0,2,1,103,52,0.1516,134.62,1,0,0,0
ORD_303_00014,PIN_029,Beauty,0,0.16666666666666666,0.02,0.0765,0.1667,0,1,1,243,34,0.1484,49.68,1,0,0,0
ORD_303_00015,PIN_030,Apparel,0,0.09090909090909091,0.19776119402985073,-0.7268,0.2,0,3,1,363,33,0.1618,63.15,1,0,0,0
ORD_303_00016,PIN_024,Electronics,0,0.26666666666666666,0.5535911602209945,-0.7423,1.0,1,2,1,49,51,0.1655,41.66,0,0,0,0
ORD_303_00017,PIN_070,Electronics,0,0.2682926829268293,0.5535911602209945,-0.2401,0.3333,0,1,4,281,66,0.5142,140.09,0,0,0,0
ORD_303_00018,PIN_001,Books,0,0.1282051282051282,0.01764705882352941,-1.0143,0.25,0,3,1,17,61,0.106,13.05,0,0,0,0
ORD_303_00019,PIN_047,Electronics,0,0.2727272727272727,0.5535911602209945,-1.8638,0.3333,0,0,1,460,42,0.2055,84.46,0,0,0,0
ORD_303_00020,PIN_016,Electronics,1,0.20930232558139536,0.5535911602209945,-1.0665,0.6667,0,2,1,201,53,0.3404,31.31,1,0,0,1
ORD_303_00021,PIN_068,Apparel,0,0.225,0.19776119402985073,4.0,0.2,0,3,1,420,23,0.4184,132.04,1,0,0,0
ORD_303_00022,PIN_061,Apparel,0,0.45454545454545453,0.19776119402985073,0.7616,0.2,0,4,1,228,36,0.1695,113.69,1,0,0,0
ORD_303_00023,PIN_013,Apparel,0,0.16666666666666666,0.19776119402985073,1.2595,1.6,0,0,1,109,64,0.4149,33.66,1,0,0,0
ORD_303_00024,PIN_073,Electronics,0,0.25,0.5535911602209945,-0.8772,0.3333,0,3,2,238,75,0.4769,128.1,0,0,0,0
ORD_303_00025,PIN_046,Apparel,0,0.23529411764705882,0.19776119402985073,-0.5373,0.4,0,2,1,140,59,0.3382,102.79,1,0,0,0
ORD_303_00026,PIN_096,Electronics,0,0.23985718922427784,0.5535911602209945,-0.1216,0.6667,0,4,2,387,35,0.0357,185.69,1,1,1,1
ORD_303_00027,PIN_001,Apparel,0,0.1282051282051282,0.19776119402985073,0.4502,0.2,0,2,2,157,46,0.5145,1.0,0,0,0,0
ORD_303_00028,PIN_008,Electronics,2,0.14285714285714285,0.5535911602209945,-1.1066,0.3333,0,2,2,348,50,0.3205,27.79,1,0,0,1
ORD_303_00029,PIN_039,Apparel,0,0.2647058823529412,0.19776119402985073,-0.0496,0.2,0,3,2,533,44,0.1236,81.45,1,0,0,0
ORD_303_00030,PIN_034,Apparel,0,0.22580645161290322,0.19776119402985073,-1.4609,0.2,1,0,1,323,44,0.4296,69.49,1,0,0,0
ORD_303_00031,PIN_055,Apparel,0,0.19047619047619047,0.19776119402985073,4.0,0.2,0,2,1,232,54,0.3555,104.46,1,0,0,0
ORD_303_00032,PIN_023,Home,0,0.1875,0.03017241379310345,-1.1595,1.25,1,2,1,23,38,0.1625,48.67,1,0,0,0
ORD_303_00033,PIN_097,Apparel,0,0.23985718922427784,0.19776119402985073,4.0,0.2,0,4,1,133,36,0.1807,177.16,1,1,1,1
ORD_303_00034,PIN_088,Home,0,0.29411764705882354,0.03017241379310345,-0.3203,1.25,0,5,1,286,42,0.0822,150.92,1,0,0,0
ORD_303_00035,PIN_004,Beauty,0,0.21212121212121213,0.02,4.0,0.1667,0,5,1,366,55,0.4815,29.62,1,0,0,0
ORD_303_00036,PIN_062,Beauty,0,0.4,0.02,1.0687,0.1667,0,2,1,606,29,0.1598,118.58,0,0,0,0
ORD_303_00037,PIN_019,Apparel,0,0.13513513513513514,0.19776119402985073,1.5605,0.4,0,4,1,281,55,0.1099,44.65,1,0,0,0
ORD_303_00038,PIN_011,Books,0,0.10810810810810811,0.01764705882352941,0.4754,1.0,0,5,1,17,55,0.4089,20.18,1,0,0,0
ORD_303_00039,PIN_019,Beauty,1,0.13513513513513514,0.02,-1.319,0.1667,0,4,1,664,37,0.4726,36.71,1,0,0,0
ORD_303_00040,PIN_056,Apparel,0,0.25,0.19776119402985073,4.0,0.2,0,3,1,238,46,0.2874,105.7,0,0,0,0
ORD_303_00041,PIN_080,Electronics,0,0.32,0.5535911602209945,-1.8817,0.3333,0,5,1,174,34,0.6257,149.29,1,0,0,1
ORD_303_00042,PIN_032,Home,0,0.11538461538461539,0.03017241379310345,1.8222,2.5,1,1,1,1547,11,0.1474,56.06,1,0,0,0
ORD_303_00043,PIN_016,Apparel,1,0.20930232558139536,0.19776119402985073,0.9387,0.2,0,4,1,78,42,0.2359,22.5,1,0,0,1
ORD_303_00044,PIN_053,Home,0,0.22857142857142856,0.03017241379310345,-1.6684,0.5,0,3,1,168,42,0.3694,99.55,0,0,0,0
ORD_303_00045,PIN_078,Apparel,0,0.2647058823529412,0.19776119402985073,4.0,1.4,0,3,1,31,33,0.5723,149.1,0,0,0,0
ORD_303_00046,PIN_015,Electronics,0,0.1724137931034483,0.5535911602209945,-1.869,0.3333,0,2,1,119,46,0.3074,24.22,1,0,0,0
ORD_303_00047,PIN_030,Electronics,0,0.09090909090909091,0.5535911602209945,-1.6875,0.3333,0,0,1,44,10,0.3733,76.21,1,0,0,1
ORD_303_00048,PIN_066,Electronics,0,0.34210526315789475,0.5535911602209945,-1.6292,0.3333,0,0,1,774,43,0.0927,129.39,1,0,0,0
ORD_303_00049,PIN_100,Electronics,1,0.23985718922427784,0.5535911602209945,-1.2749,0.3333,0,1,1,125,64,0.3338,170.98,0,1,1,0
ORD_303_00050,PIN_039,Electronics,0,0.2647058823529412,0.5535911602209945,-1.6186,0.3333,0,0,1,212,70,0.0279,72.47,1,0,0,0
ORD_303_00051,PIN_010,Apparel,0,0.24444444444444444,0.19776119402985073,1.0341,0.2,0,1,3,215,21,0.0677,21.78,1,0,0,0
ORD_303_00052,PIN_019,Apparel,0,0.13513513513513514,0.19776119402985073,-0.478,0.2,0,3,1,267,41,0.4093,41.1,1,0,0,0
ORD_303_00053,PIN_062,Apparel,0,0.4,0.19776119402985073,-0.5448,0.2,0,0,1,70,47,0.4181,109.23,1,0,0,0
ORD_303_00054,PIN_068,Electronics,0,0.225,0.5535911602209945,-1.5704,0.3333,1,3,1,370,36,0.0993,125.55,0,0,0,0
ORD_303_00055,PIN_017,Electronics,0,0.24242424242424243,0.5535911602209945,-1.6482,2.3333,0,2,2,19,71,0.2144,50.74,1,0,0,1
ORD_303_00056,PIN_081,Beauty,0,0.375,0.02,2.6195,0.1667,1,3,1,539,31,0.0454,159.41,1,0,0,0
ORD_303_00057,PIN_085,Apparel,0,0.25,0.19776119402985073,-1.3326,2.0,0,3,1,2,15,0.5362,152.25,0,0,0,0
ORD_303_00058,PIN_046,Beauty,0,0.23529411764705882,0.02,-0.8166,0.1667,0,0,1,803,52,0.372,84.47,0,0,0,0
ORD_303_00059,PIN_048,Home,0,0.21621621621621623,0.03017241379310345,-1.4179,0.25,0,3,1,387,19,0.5326,94.15,0,0,0,0
ORD_303_00060,PIN_007,Apparel,0,0.125,0.19776119402985073,-1.2569,0.2,0,1,1,151,55,0.1921,30.29,0,0,0,0
ORD_303_00061,PIN_014,Electronics,2,0.20689655172413793,0.5535911602209945,-1.4707,0.3333,0,2,1,552,32,0.1899,35.88,1,0,0,1
ORD_303_00062,PIN_098,Apparel,0,0.23985718922427784,0.19776119402985073,0.769,0.2,0,1,1,67,34,0.12,180.36,1,1,1,1
ORD_303_00063,PIN_004,Books,0,0.21212121212121213,0.01764705882352941,0.6093,0.25,1,4,1,311,45,0.1588,23.86,0,0,0,0
ORD_303_00064,PIN_020,Beauty,1,0.2413793103448276,0.02,1.3102,0.1667,0,0,1,171,43,0.7712,30.94,0,0,0,0
ORD_303_00065,PIN_032,Apparel,0,0.11538461538461539,0.19776119402985073,2.7136,0.2,0,4,1,189,49,0.2254,63.85,0,0,0,0
ORD_303_00066,PIN_029,Electronics,0,0.16666666666666666,0.5535911602209945,-1.1121,0.3333,1,3,1,305,36,0.2028,58.8,1,0,0,0
ORD_303_00067,PIN_031,Apparel,0,0.1875,0.19776119402985073,3.6611,0.2,0,1,1,1111,66,0.1798,61.32,0,0,0,0
ORD_303_00068,PIN_085,Home,0,0.25,0.03017241379310345,1.2069,0.25,0,1,1,40,20,0.5433,159.04,1,0,0,0
ORD_303_00069,PIN_077,Apparel,0,0.358974358974359,0.19776119402985073,0.8667,0.4,0,4,2,496,59,0.0519,134.77,1,0,0,0
ORD_303_00070,PIN_006,Apparel,0,0.23529411764705882,0.19776119402985073,-1.5393,0.4,0,2,1,526,40,0.4578,4.54,0,0,0,0
ORD_303_00071,PIN_065,Apparel,0,0.2619047619047619,0.19776119402985073,1.4734,0.2,0,5,1,361,27,0.5099,104.0,1,0,0,1
ORD_303_00072,PIN_089,Electronics,0,0.3888888888888889,0.5535911602209945,0.6208,0.3333,0,2,1,314,51,0.6119,151.03,0,0,0,0
ORD_303_00073,PIN_061,Apparel,0,0.45454545454545453,0.19776119402985073,-0.325,0.8,0,5,1,152,17,0.2577,110.64,0,0,0,0
ORD_303_00074,PIN_059,Apparel,1,0.21739130434782608,0.19776119402985073,4.0,0.2,1,1,1,250,56,0.4013,105.71,0,0,0,0
ORD_303_00075,PIN_060,Electronics,0,0.25806451612903225,0.5535911602209945,-1.6547,0.3333,0,3,1,769,60,0.1253,112.79,0,0,0,0
